anio,mes,prov_id,grupo_edad,sexo,pob_mensual
2010,2,14,70 a 79 años,Femenino,98035.2684931507
2010,2,14,70 a 79 años,Masculino,70248.9890410959
2010,2,14,80+ años,Femenino,60781.3068493151
2010,2,14,80+ años,Masculino,29207.2328767123
2010,2,18,20 a 39 años,Femenino,152330.778082192
2010,2,18,20 a 39 años,Masculino,145083.112328767
2010,2,18,40 a 49 años,Femenino,55954.3315068493
2010,2,18,40 a 49 años,Masculino,52978.8547945206
2010,2,18,50 a 59 años,Femenino,46952.704109589
2010,2,18,50 a 59 años,Masculino,45859.8082191781
2010,2,18,60 a 69 años,Femenino,32149.0547945206
2010,2,18,60 a 69 años,Masculino,30242.4246575343
2010,2,18,70 a 79 años,Femenino,20543.4164383562
2010,2,18,70 a 79 años,Masculino,15505.8684931507
2010,2,18,80+ años,Femenino,10964.8410958904
2010,2,18,80+ años,Masculino,6215.86301369863
2010,2,22,20 a 39 años,Femenino,162941.783561644
2010,2,22,20 a 39 años,Masculino,156465.161643836
2010,2,22,40 a 49 años,Femenino,57070.0328767123
2010,2,22,40 a 49 años,Masculino,54610.4794520548
2010,2,22,50 a 59 años,Femenino,46992.4164383562
2010,2,22,50 a 59 años,Masculino,46462.2191780822
2010,2,22,60 a 69 años,Femenino,30279.1287671233
2010,2,22,60 a 69 años,Masculino,28447.3369863014
2010,2,22,70 a 79 años,Femenino,19379.5095890411
2010,2,22,70 a 79 años,Masculino,14919.6849315069
2010,2,22,80+ años,Femenino,9555.80273972603
2010,2,22,80+ años,Masculino,5401.35342465753
2010,2,26,20 a 39 años,Femenino,82375.3369863014
2010,2,26,20 a 39 años,Masculino,84042.1068493151
2010,2,26,40 a 49 años,Femenino,29830.602739726
2010,2,26,40 a 49 años,Masculino,29728.1397260274
2010,2,26,50 a 59 años,Femenino,23939.7534246575
2010,2,26,50 a 59 años,Masculino,23719.1205479452
2010,2,26,60 a 69 años,Femenino,15883.6684931507
2010,2,26,60 a 69 años,Masculino,14869.8931506849
2010,2,26,70 a 79 años,Femenino,9476.15890410959
2010,2,26,70 a 79 años,Masculino,7391.63835616438
2010,2,26,80+ años,Femenino,5040.48767123288
2010,2,26,80+ años,Masculino,2905.02191780822
2010,2,30,20 a 39 años,Femenino,184646.624657534
2010,2,30,20 a 39 años,Masculino,183174.043835616
2010,2,30,40 a 49 años,Femenino,71552.6602739726
2010,2,30,40 a 49 años,Masculino,69225.9753424658
2010,2,30,50 a 59 años,Femenino,63122.8438356165
2010,2,30,50 a 59 años,Masculino,59611.194520548
2010,2,30,60 a 69 años,Femenino,49137.1616438356
2010,2,30,60 a 69 años,Masculino,43380.0739726027
2010,2,30,70 a 79 años,Femenino,34080.597260274
2010,2,30,70 a 79 años,Masculino,23708.8739726027
2010,2,30,80+ años,Femenino,20460.8821917808
2010,2,30,80+ años,Masculino,9127.32602739726
2010,2,34,20 a 39 años,Femenino,78720.4465753425
2010,2,34,20 a 39 años,Masculino,74715.5616438356
2010,2,34,40 a 49 años,Femenino,29315.7452054795
2010,2,34,40 a 49 años,Masculino,28748.4383561644
2010,2,34,50 a 59 años,Femenino,23874.704109589
2010,2,34,50 a 59 años,Masculino,23795.1260273973
2010,2,34,60 a 69 años,Femenino,15278.0904109589
2010,2,34,60 a 69 años,Masculino,15046.701369863
2010,2,34,70 a 79 años,Femenino,9129.64931506849
2010,2,34,70 a 79 años,Masculino,8296.36438356164
2010,2,34,80+ años,Femenino,4412.41095890411
2010,2,34,80+ años,Masculino,3194.48493150685
2010,2,38,20 a 39 años,Femenino,106220.082191781
2010,2,38,20 a 39 años,Masculino,103233.802739726
2010,2,38,40 a 49 años,Femenino,36733.6821917808
2010,2,38,40 a 49 años,Masculino,34030.1260273973
2010,2,38,50 a 59 años,Femenino,30353.0712328767
2010,2,38,50 a 59 años,Masculino,27604.3589041096
2010,2,38,60 a 69 años,Femenino,20968.6328767123
2010,2,38,60 a 69 años,Masculino,18753.2328767123
2010,2,38,70 a 79 años,Femenino,12181.0191780822
2010,2,38,70 a 79 años,Masculino,10188.1863013699
2010,2,38,80+ años,Femenino,5780.81917808219
2010,2,38,80+ años,Masculino,3661.45753424658
2010,2,42,20 a 39 años,Femenino,46921.7424657534
2010,2,42,20 a 39 años,Masculino,47472.394520548
2010,2,42,40 a 49 años,Femenino,19440.6
2010,2,42,40 a 49 años,Masculino,19230.8246575342
2010,2,42,50 a 59 años,Femenino,16614.5534246575
2010,2,42,50 a 59 años,Masculino,16736.797260274
2010,2,42,60 a 69 años,Femenino,13354.997260274
2010,2,42,60 a 69 años,Masculino,12731.9315068493
2010,2,42,70 a 79 años,Femenino,9016.05205479452
2010,2,42,70 a 79 años,Masculino,7233.26849315069
2010,2,42,80+ años,Femenino,5647.21095890411
2010,2,42,80+ años,Masculino,2992.08767123288
2010,2,46,20 a 39 años,Femenino,54660.197260274
2010,2,46,20 a 39 años,Masculino,53970.6602739726
2010,2,46,40 a 49 años,Femenino,18440.6602739726
2010,2,46,40 a 49 años,Masculino,18391.1589041096
2010,2,46,50 a 59 años,Femenino,14819.2547945206
2010,2,46,50 a 59 años,Masculino,15019.602739726
2010,2,46,60 a 69 años,Femenino,9933.33150684932
2010,2,46,60 a 69 años,Masculino,9623.14246575342
2010,2,46,70 a 79 años,Femenino,6106.2301369863
2010,2,46,70 a 79 años,Masculino,4792.80547945206
2010,2,46,80+ años,Femenino,3392.65479452055
2010,2,46,80+ años,Masculino,1966.01095890411
2010,2,50,20 a 39 años,Femenino,269046.476712329
2010,2,50,20 a 39 años,Masculino,267181.616438356
2010,2,50,40 a 49 años,Femenino,98479.501369863
2010,2,50,40 a 49 años,Masculino,91904.8821917808
2010,2,50,50 a 59 años,Femenino,89563.4082191781
2010,2,50,50 a 59 años,Masculino,81199.4164383562
2010,2,50,60 a 69 años,Femenino,71541.2876712329
2010,2,50,60 a 69 años,Masculino,61593.3534246575
2010,2,50,70 a 79 años,Femenino,46068.2
2010,2,50,70 a 79 años,Masculino,34729.2328767123
2010,2,50,80+ años,Femenino,26870.3342465753
2010,2,50,80+ años,Masculino,14903.9753424658
2010,2,54,20 a 39 años,Femenino,163058.717808219
2010,2,54,20 a 39 años,Masculino,158353.482191781
